id, url, public, featured, added, modified, collection_name, collection_description 
1, https://uogguafak.omeka.net/api/collections/1, True, False, 2022-01-31T04:06:14+00:00, 2022-02-01T08:03:30+00:00, University of Guam Thesis Collection 2020 2021,  
2, https://uogguafak.omeka.net/api/collections/2, True, True, 2022-02-04T00:49:11+00:00, 2023-03-30T03:49:34+00:00, YMLG CHamoru Language Collection, Chamorros   Chamorros  Chamorro children s songs  Chamorro songs  Chamorro cooking  Chamorro language  Names   Chamorro names  Chamorro literature  Chamorro poetry  Chamorro language  Conversation and phrase book  Chamorro language  Conversation and phrase books  English  English language  Conversation and phrase books  Chamorro  English language  Study and teaching  Primary   Chamorro speakers  English language  Study and teaching  Chamorro speakers  Plant names  Popular  Chamorro   
3, https://uogguafak.omeka.net/api/collections/3, True, False, 2022-02-04T01:02:54+00:00, 2022-09-01T04:55:29+00:00, GC65, American  Armed  Forces  Guam  Reoccupation 1944  1945  Grant  MARC  Administration  National  Archives 
4, https://uogguafak.omeka.net/api/collections/4, True, False, 2022-02-04T01:10:24+00:00, 2022-02-04T01:34:44+00:00, Memoirs Pasifika, A podcast exploring events  movements  and people in modern Micronesian history  
6, https://uogguafak.omeka.net/api/collections/6, True, False, 2022-08-01T03:41:57+00:00, 2022-12-15T05:31:24+00:00, Guam Times Weekly Volume 1 Number 1  February 15  1964, Manuel  L  Jose  Jose A  Peralta  Pat B  Sison  Porter G  Weaver 
7, https://uogguafak.omeka.net/api/collections/7, True, False, 2022-08-01T06:20:12+00:00, 2022-08-15T03:36:42+00:00, Guam Times Weekly Volume 2  Number 1  February 22  1964, Manuel L  Jose  Jose  A Peralta  Pat B  Sison  Porter G  Weaver 
8, https://uogguafak.omeka.net/api/collections/8, True, False, 2022-08-02T01:54:29+00:00, 2022-08-15T03:37:18+00:00, Guam Times Weekly Volume 1 Number 3  March 7  1964, Manuel L  Jose  Marjorie E  Smith  Pat B  Sison  Connie Allen 
9, https://uogguafak.omeka.net/api/collections/9, True, False, 2022-08-04T22:04:58+00:00, 2022-08-15T03:37:47+00:00, Guam Times Weekly Volume 1  Number 4  March 14  1964, Manuel L  Jose  Marjorie E  Smith  Connie Allen  Pat B  Sison 
10, https://uogguafak.omeka.net/api/collections/10, True, False, 2022-08-07T23:02:05+00:00, 2022-08-15T03:38:09+00:00, Guam Times Weekly Volume 1  Number 5  March 18  1964, Manuel L  Jose  Marjorie E  Smith  Connie  Allen  Pat B  Sison 
11, https://uogguafak.omeka.net/api/collections/11, True, False, 2022-08-08T23:36:31+00:00, 2022-08-15T03:38:32+00:00, Guam Times Weekly Volume 1  Number 6  March 21  1964, Manuel L  Jose  Marjorie E  Smith  Connie Allen  Pat B  Sison 
12, https://uogguafak.omeka.net/api/collections/12, True, False, 2022-08-09T22:52:43+00:00, 2022-08-15T03:39:43+00:00, Guam Times Weekly Volume 1 Number 7  March 28  1964, Manuel L  Jose  Marjorie E  Smith  Connie Allen  Pat B  Sison 
13, https://uogguafak.omeka.net/api/collections/13, True, False, 2022-08-11T02:02:52+00:00, 2022-08-15T03:39:31+00:00, Guam Times Weekly Volume 1 Number 8  April 4  1964, Manuel  L  Jose  Jose A  Peralta  Marjorie E  Smith  Amado Jugo 
14, https://uogguafak.omeka.net/api/collections/14, True, False, 2022-08-15T03:42:35+00:00, 2022-08-15T03:42:40+00:00, Guam Times Weekly Volume 1 Number 9  April 11  1964, Guam 
15, https://uogguafak.omeka.net/api/collections/15, True, False, 2022-08-29T04:53:46+00:00, 2022-08-29T04:53:46+00:00, Guam Times Weekly Volume 1  Number 10  April 18  1964, Guam 
16, https://uogguafak.omeka.net/api/collections/16, True, False, 2022-09-01T01:01:45+00:00, 2022-09-01T04:57:13+00:00, GC95, Dr  Albert L  Geiser was on Guam at the end of World War II as a dentist assigned to the Fifth Field Depot  These are shots that he captured and gave descriptions for    
17, https://uogguafak.omeka.net/api/collections/17, True, False, 2022-09-09T05:12:01+00:00, 2022-09-09T05:14:44+00:00, GC 82, Photos taken by the U S  Marine Corps in 1944 during World War II   
18, https://uogguafak.omeka.net/api/collections/18, True, False, 2022-09-12T00:32:44+00:00, 2022-09-12T05:54:15+00:00, Xanadu  Volume 1  No  1, Guam  Poetry  Prose  Fiction  Russian  Creative Writing  Friendship  Religion  Love   
19, https://uogguafak.omeka.net/api/collections/19, True, False, 2022-09-12T06:11:31+00:00, 2022-10-03T02:01:06+00:00, Xanadu  Vol 2  No  1, Xanadu Vol  2 is a collection of poetry  prose  essays and illustrations produced on Guam in the Fall semester of 1966 1967  The works included are original and feature interesting perspectives  such as the mind of a dodo Bird   The Last of the Dodo Birds    a creative re telling of the world of Tennessee Williams   The Worlds of Williams   and even the intricate relationship between nature  time  and color   Color Contemplation    The art featured in this magazine is evocative of the time it was produced   
20, https://uogguafak.omeka.net/api/collections/20, True, False, 2022-09-13T06:39:06+00:00, 2022-12-16T02:04:26+00:00, Xanadu II  1981   , Guam  Poetry  Prose  Fiction  Creative Writing  Essay  Illustration  Art  Music  Legend  Theatre   
21, https://uogguafak.omeka.net/api/collections/21, True, False, 2022-09-20T04:29:29+00:00, 2022-09-20T04:45:20+00:00, Guam Times Weekly Volume 1  Number 11  April 25  1964, Guam 
22, https://uogguafak.omeka.net/api/collections/22, True, False, 2022-10-03T04:42:37+00:00, 2022-10-03T04:42:42+00:00, Guam Times Weekly Volume 1  Number 12  May 2  1964, Guam 
23, https://uogguafak.omeka.net/api/collections/23, True, False, 2022-10-13T21:48:16+00:00, 2022-10-27T22:09:44+00:00, Guam Times Weekly Volume 1  Number 13  May 9th  1964, Guam 
24, https://uogguafak.omeka.net/api/collections/24, True, False, 2022-10-27T21:54:38+00:00, 2022-11-01T01:46:51+00:00, Guam Times Weekly Volume 1  Number 14  May 16  1964, Guam 
25, https://uogguafak.omeka.net/api/collections/25, True, False, 2022-11-01T01:23:41+00:00, 2023-03-30T03:43:18+00:00, Guam Times Weekly  Volume 1  Number 15  May 23rd  1964, Manuel L  Jose  Marjorie E  Smith  Jose A  Peralta  Amado Jungo 
27, https://uogguafak.omeka.net/api/collections/27, True, False, 2022-12-02T02:01:05+00:00, 2023-01-20T04:54:12+00:00, Guam Times Weekly  Volume 1  Number 17  June 6th  1964, Manuel L  Jose  Marjorie E  Smith  Jose A  Peralta  Victor Leon Guerrero 
28, https://uogguafak.omeka.net/api/collections/28, True, False, 2022-12-16T01:56:41+00:00, 2022-12-20T06:04:58+00:00, Xanadu II  1982 , Guam  Poetry  Prose  Non Fiction  Song  Music  Theatre  Personal  Essay  Beginner  Imitation  Parody  Kosrae  Japan  China  Yap  Ulithi  Chuuk  Germany  Korea 
31, https://uogguafak.omeka.net/api/collections/31, True, False, 2023-01-05T00:43:10+00:00, 2023-01-11T01:28:50+00:00, Guam Recorder  New Series  October December 1971 Volume 1  Number 1 , UOG  MARC  
32, https://uogguafak.omeka.net/api/collections/32, True, False, 2023-01-05T06:39:06+00:00, 2023-01-19T01:31:40+00:00, Guam Recorder  New Series  January March 1972 Volume 2   Number 1, UOG  MARC  
35, https://uogguafak.omeka.net/api/collections/35, True, False, 2023-02-22T15:45:37+00:00, 2023-02-22T15:45:37+00:00, Storyboard  A Journal of Pacific Imagery, For over 20 years  Storyboard  A Journal of Pacific Imagery has promoted literacy in the Pacific Islands and annually invites writers and artists to submit poetry  prose and artwork responding to current themes and topics impacting Pacific islands  Storyboard is published by the University of Guam’s Division of English and Applied Linguistics in partnership with the University of Guam Press  
